"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2011","34.902","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2012","36.821","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2013","37.603","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2014","38.853","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2015","41.366","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2016","41.522","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2017","41.121","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2018","38.949","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2019","38.129","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2020","42.479","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2021","37.883","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2022","37.715","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2023","37.835","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2024","32.012","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2025","33.654","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","2.368","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","-5.61","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","-3.807","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","-7.851","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","-1.677","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","6.894","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","-0.246","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","-0.417","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","12.099","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-12.796","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","12.578","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","-1.816","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","-14.38","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","20.14","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","5.284","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","6.004","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","-1.026","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","2.405","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","-2.513","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","2.731","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","-2.08","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","2.818","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","-2.617","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","-2.001","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","-9.901","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","10.442","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","5.27","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","-1.611","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","-3.481","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","4.995","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","2.361","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","1.011","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","2.877","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","-0.362","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","8.887","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","4.214","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","4.785","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","3.416","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","-1.676","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-1.338","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","2.275","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","6.113","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","9.451","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","2.859","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","4.875","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","3.974","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","1.921","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","3.005","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","0.504","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","-3.546","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","-3.276","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","1.323","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","1.784","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","1.221","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","-3.277","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","4.763","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","3.017","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","2.908","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","3.044","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","2.162","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2011","39.367","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2012","39.31","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2013","39.781","Units"
